..\datos\GKD-b_10_n25_m7.txt;30.7019;838
..\datos\GKD-b_11_n50_m5.txt;8.76978;1273
..\datos\GKD-b_12_n50_m5.txt;8.76624;1256
..\datos\GKD-b_13_n50_m5.txt;9.3674;1330
..\datos\GKD-b_14_n50_m5.txt;7.14426;1297
..\datos\GKD-b_15_n50_m5.txt;7.79095;1255
..\datos\GKD-b_16_n50_m15.txt;66.1713;1753
..\datos\GKD-b_17_n50_m15.txt;87.4136;1684
..\datos\GKD-b_18_n50_m15.txt;66.6127;1735
..\datos\GKD-b_19_n50_m15.txt;76.6639;1565
..\datos\GKD-b_1_n25_m2.txt;0;539
..\datos\GKD-b_20_n50_m15.txt;69.9124;1652
..\datos\GKD-b_21_n100_m10.txt;35.5951;2571
..\datos\GKD-b_22_n100_m10.txt;34.4695;2570
..\datos\GKD-b_23_n100_m10.txt;30.3426;2919
..\datos\GKD-b_24_n100_m10.txt;36.809;2533
..\datos\GKD-b_25_n100_m10.txt;30.1185;2614
..\datos\GKD-b_26_n100_m30.txt;277.827;3836
..\datos\GKD-b_27_n100_m30.txt;201.864;3901
..\datos\GKD-b_28_n100_m30.txt;193.205;4223
..\datos\GKD-b_29_n100_m30.txt;191.302;3524
..\datos\GKD-b_2_n25_m2.txt;0;544
..\datos\GKD-b_30_n100_m30.txt;220.411;4077
..\datos\GKD-b_31_n125_m12.txt;32.2194;2967
..\datos\GKD-b_32_n125_m12.txt;43.1115;3666
..\datos\GKD-b_33_n125_m12.txt;28.4041;3396
..\datos\GKD-b_34_n125_m12.txt;36.6482;3445
..\datos\GKD-b_35_n125_m12.txt;46.2706;3350
..\datos\GKD-b_36_n125_m37.txt;295.042;4736
..\datos\GKD-b_37_n125_m37.txt;429.146;4319
..\datos\GKD-b_38_n125_m37.txt;392.706;4345
..\datos\GKD-b_39_n125_m37.txt;295.624;4196
..\datos\GKD-b_3_n25_m2.txt;0;533
..\datos\GKD-b_40_n125_m37.txt;373.08;4113
..\datos\GKD-b_41_n150_m15.txt;43.4915;4539
..\datos\GKD-b_42_n150_m15.txt;67.2222;4771
..\datos\GKD-b_43_n150_m15.txt;67.006;3663
..\datos\GKD-b_44_n150_m15.txt;52.2516;4132
..\datos\GKD-b_45_n150_m15.txt;42.8188;4064
..\datos\GKD-b_46_n150_m45.txt;456.844;8705
..\datos\GKD-b_47_n150_m45.txt;306.574;6206
..\datos\GKD-b_48_n150_m45.txt;391.734;7052
..\datos\GKD-b_49_n150_m45.txt;434.112;7404
..\datos\GKD-b_4_n25_m2.txt;0;517
..\datos\GKD-b_50_n150_m45.txt;444.392;5746
..\datos\GKD-b_5_n25_m2.txt;0;522
..\datos\GKD-b_6_n25_m7.txt;32.7762;779
..\datos\GKD-b_7_n25_m7.txt;19.609;841
..\datos\GKD-b_8_n25_m7.txt;20.9588;847
..\datos\GKD-b_9_n25_m7.txt;28.6604;792
